0,銘柄,銘柄,1分足,1分足,1分足,1分足,5分足,5分足,5分足,5分足,15分足,15分足,15分足,15分足,1時間足,1時間足,1時間足,1時間足,日足,日足,日足,日足
1,銘柄コード,銘柄名,標準偏差,理想乖離率：上限(%),理想乖離率：下限(%),ローソク足本数,標準偏差,理想乖離率：上限(%),理想乖離率：下限(%),ローソク足本数,標準偏差,理想乖離率：上限(%),理想乖離率：下限(%),ローソク足本数,標準偏差,理想乖離率：上限(%),理想乖離率：下限(%),ローソク足本数,標準偏差,理想乖離率：上限(%),理想乖離率：下限(%),ローソク足本数
2024-01-06,8053,三菱重工,0.0036322613532778,0.409,-0.363,604.0,0.0093485282795462,0.919,-0.935,2417.0,0.016704662680673,1.64,-1.67,819.0,0.037166457299375,4.2,-3.717,2898.0,0.1026916674256578,11.235,-10.269,6004.0
